TypeOfIncident,TypeOfCollission,AuthoritiesContacted,IncidentState,NumberOfVehicles,PropertyDamage,BodilyInjuries,Witnesses,AmountOfTotalClaim,AmountOfInjuryClaim,AmountOfPropertyClaim,AmountOfVehicleDamage,InsuredAge,InsuredGender,InsuredEducationLevel,InsuredOccupation,CapitalGains,CapitalLoss,CustomerLoyaltyPeriod,InsurancePolicyState,Policy_Deductible,PolicyAnnualPremium,InsuredRelationship,VehicleMake,VehicleYOM,ReportedFraud
2,1.0,4,5,1,1.0,1,1,55275,6254,6254,42767,53,1,4,4,44000,-71000,409,1,569,1367.86,4,4,1999,1
2,1.0,4,5,1,,0,1,57129,6907,6907,43315,55,0,2,4,66000,-71000,390,2,846,1498.3,4,11,1997,1
2,2.0,4,5,1,,0,1,57209,6935,6935,43339,55,1,2,4,66000,-71000,390,2,858,1503.88,4,4,1997,1
1,,4,4,1,0.0,1,1,6218,629,1187,4402,52,0,2,1,0,0,378,2,1885,814.76,4,9,2001,1
1,,4,1,1,0.0,1,1,5958,625,956,4377,50,0,5,1,0,-55300,342,0,1524,888.13,3,9,2003,1
3,,4,4,1,0.0,2,1,5934,625,935,4374,49,1,2,0,0,-55300,339,2,1492,894.8,3,14,2003,1
2,0.0,0,6,1,0.0,2,1,90798,17662,17662,55474,42,1,4,5,43700,-46400,282,2,1738,1315.05,4,9,2003,1
2,2.0,1,6,1,1.0,2,1,94746,18050,18050,58646,43,0,4,5,0,-46400,292,1,1527,1228.65,2,9,2002,1
2,2.0,1,6,1,1.0,2,1,86469,17236,17236,51997,41,0,4,11,0,-46400,270,1,1970,1409.76,4,9,2005,1
0,2.0,0,4,3,,0,1,56160,6240,6240,43680,37,0,5,1,0,0,147,1,2000,1375.29,3,6,2015,1
2,2.0,1,6,1,1.0,2,1,102407,18803,18803,64801,45,0,4,11,43700,-46400,311,2,1118,1060.96,4,12,2000,1
0,0.0,1,6,3,0.0,0,1,60423,5984,9269,45170,31,1,3,5,0,-35500,99,1,797,1024.18,0,10,2005,1
0,0.0,0,2,3,0.0,0,1,61628,11816,8022,41790,35,0,3,13,0,0,124,2,818,1388.99,1,5,2010,1
0,0.0,0,3,3,,0,1,71511,11661,10590,49260,31,0,3,13,0,0,49,0,590,1328.25,1,5,2006,1
0,0.0,0,3,3,0.0,0,1,72120,11651,10748,49721,30,0,3,13,0,0,44,0,576,1324.5,1,5,2006,1
0,1.0,3,0,3,0.0,2,1,66510,12026,7608,46876,46,0,6,1,81300,-56200,326,2,2000,1460.94,2,5,2014,1
0,1.0,3,0,3,0.0,2,1,79825,7642,14225,57958,41,0,0,11,0,0,258,2,2000,-1.0,2,5,2014,1
0,1.0,3,4,3,0.0,2,1,75236,9152,11945,54139,43,0,0,1,81300,-56200,281,2,2000,1370.06,2,5,2014,1
2,1.0,4,2,1,1.0,1,1,58705,5952,5952,46801,55,0,2,4,0,-71000,410,0,500,1291.94,1,4,1998,1
2,0.0,4,4,1,,0,0,63315,5789,5789,51737,58,0,4,4,44000,-46900,405,1,500,1240.81,1,4,1997,1
2,1.0,4,2,1,,0,0,61544,5852,5852,49840,57,0,4,4,44000,-71000,407,0,500,1260.46,1,9,1997,1
0,1.0,0,1,3,1.0,1,1,54092,10071,7960,36061,31,0,5,7,52000,-53800,87,2,1353,1100.78,5,11,2014,1
0,1.0,0,1,3,0.0,1,1,54102,9995,8039,36068,31,0,3,4,0,-53800,88,2,1327,1097.26,3,11,2014,1
0,1.0,0,5,3,1.0,1,1,54221,9176,8898,36147,33,0,3,7,52000,-44500,99,2,1047,1059.33,3,11,2013,1
0,2.0,1,2,3,1.0,1,1,68580,7620,7620,53340,43,0,0,11,0,0,289,2,1000,1387.51,1,8,2010,0
0,0.0,4,6,2,,0,1,47497,9350,4675,33472,38,0,2,12,0,0,194,0,1000,1332.69,2,5,2009,1
2,0.0,4,3,2,,0,1,47702,9435,4718,33549,38,0,2,12,0,0,194,0,1000,1336.11,2,3,2009,1
0,0.0,0,6,3,,0,1,51460,10997,5498,34965,38,0,1,12,0,0,188,0,1000,1399.35,2,5,2012,1
2,2.0,4,3,1,,0,1,46349,8873,4437,33039,38,0,1,13,0,-53100,196,0,1000,1313.37,1,3,2008,1
2,1.0,3,4,2,0.0,1,1,84104,12119,14397,57588,41,0,2,12,87800,0,238,0,836,1268.22,2,8,1998,1
2,1.0,3,4,2,,2,1,81940,10693,14249,56998,42,1,2,12,87800,-51200,247,2,743,1288.14,2,14,1998,1
2,1.0,3,4,3,,1,0,86359,13605,14551,58203,40,0,2,12,0,0,229,2,932,1247.46,2,8,1999,1
2,1.0,1,4,3,,1,0,86175,13484,14538,58153,40,0,2,1,0,0,229,2,924,1249.14,3,8,1999,1
2,2.0,4,1,1,1.0,1,1,78912,6818,13636,58458,33,0,3,11,33500,0,88,1,2000,1457.23,5,12,2009,1
2,2.0,0,2,1,1.0,1,1,90860,12980,19470,58410,60,1,4,2,0,-54400,427,1,1000,1178.61,3,14,2004,1
2,2.0,3,6,1,1.0,1,1,80001,6801,13602,59598,33,0,2,3,33500,-58900,112,1,2000,1415.16,2,12,2009,1
2,0.0,4,6,1,1.0,1,1,80353,6796,13591,59966,33,0,2,11,0,0,120,1,2000,1401.56,5,3,2009,1
2,0.0,3,6,1,1.0,1,1,80281,6797,13594,59890,33,0,3,11,0,0,118,1,2000,1404.36,2,12,2009,1
2,1.0,4,2,1,,1,1,57850,6180,6180,45490,26,0,5,10,0,0,63,2,1000,1022.05,5,12,2004,1
2,2.0,4,2,1,,1,1,57124,6229,6229,44666,26,0,1,11,0,0,63,0,1000,1032.42,5,1,2004,1
2,2.0,4,2,1,,1,0,55750,6322,6322,43106,25,0,1,11,0,0,64,2,1000,1052.05,5,1,2005,0
3,,2,5,1,1.0,2,1,4637,861,763,3013,53,1,2,0,0,-32900,385,0,1000,1477.95,3,5,2009,1
1,,2,5,1,1.0,1,1,4684,921,539,3224,61,1,2,5,47600,-32900,456,0,1000,1336.15,1,5,2007,1
1,,4,1,1,0.0,0,1,5700,570,570,4560,53,1,0,8,0,0,380,0,2000,1166.62,5,11,2001,0
1,,2,4,1,1.0,2,1,4626,848,811,2967,52,1,2,0,0,0,369,0,1000,1508.36,1,5,2009,1
2,0.0,0,5,1,,0,1,43331,0,5413,37918,40,0,4,9,0,0,254,1,500,1925.61,0,10,1996,1
2,0.0,0,5,1,,0,1,54809,0,6121,48688,38,0,4,9,0,0,206,0,500,1422.13,1,7,1999,1
2,0.0,0,5,1,1.0,0,1,48107,0,5708,42399,39,0,4,7,0,0,234,1,500,1716.15,0,10,1997,1
0,2.0,3,5,3,1.0,2,1,68978,13585,6793,48600,49,0,5,13,39300,-60300,301,2,2000,1252.22,0,11,1995,1
0,2.0,4,5,3,1.0,2,1,68866,12490,6245,50131,43,0,4,1,39300,-60300,242,2,2000,1234.87,4,11,1997,1
3,,4,4,1,0.0,2,1,5520,634,634,4252,46,1,5,0,0,-32900,295,0,1000,1028.18,3,14,2005,1
0,2.0,4,2,3,1.0,2,0,94930,8630,8630,77670,21,1,0,9,0,-75000,13,1,1000,1556.31,1,1,2014,0
3,,4,4,1,1.0,2,1,5143,720,720,3703,48,0,2,5,0,-55300,322,0,1000,1236.81,1,14,2007,1
3,,4,4,1,0.0,2,1,4629,838,838,2953,51,1,5,5,0,-32900,359,0,1000,1521.76,1,5,2009,1
3,,4,4,1,1.0,2,1,5563,624,624,4315,46,1,5,0,0,-55300,292,2,1000,1004.33,3,5,2005,1
2,2.0,3,2,1,1.0,2,1,80019,15039,15039,49941,48,1,0,5,0,-46400,334,0,971,1316.62,4,12,2011,1
2,1.0,0,2,1,1.0,2,1,85323,16970,16970,51383,42,1,0,13,0,-46400,275,0,1899,1411.84,4,14,2006,1
2,1.0,3,2,1,1.0,2,1,79332,14789,14789,49754,49,0,5,5,0,-46400,342,0,850,1304.3,4,12,2012,0
0,2.0,1,4,3,0.0,1,1,39228,6345,3791,29092,34,0,6,3,0,0,196,0,500,1337.04,0,11,2003,1
0,2.0,1,6,3,0.0,2,1,24988,2833,2760,19395,35,0,1,1,0,-19500,210,2,500,1430.5,1,11,2006,1
0,2.0,1,6,3,0.0,2,1,34361,5145,3439,25777,35,0,6,1,0,-19500,201,0,500,1368.98,1,3,2004,1
2,2.0,0,4,1,0.0,1,1,46800,4680,9360,32760,43,1,4,4,75800,0,282,2,500,1452.27,1,2,2007,1
0,2.0,1,4,3,1.0,2,1,36558,5687,3598,27273,35,0,1,3,0,0,199,2,500,1354.57,1,11,2003,1
2,0.0,1,2,1,0.0,0,1,67728,11826,10212,45690,43,1,4,10,40700,-42800,274,2,2000,1274.29,5,3,2007,1
2,0.0,1,2,1,1.0,0,0,83711,16701,8453,58557,41,1,1,10,40700,-47300,272,2,2000,953.54,5,6,2009,1
2,0.0,1,2,1,0.0,0,1,75773,14280,9326,52167,42,1,4,10,38600,-47300,273,2,2000,1112.82,5,3,2008,1
0,0.0,0,4,2,0.0,1,1,42333,5554,5554,31225,50,1,1,2,34700,-81000,321,1,2000,1198.22,5,6,2008,1
0,0.0,0,4,2,,1,1,43714,5577,5577,32560,49,1,1,5,0,-81000,314,2,2000,1181.75,5,6,2008,1
2,1.0,3,2,1,1.0,0,1,67200,7854,14214,45132,53,1,1,4,48000,-58600,388,2,2000,1317.58,1,7,2013,1
0,2.0,1,2,3,0.0,2,1,56320,7040,7040,42240,47,0,4,3,66900,-51800,312,2,1000,1212.07,5,9,2000,0
2,1.0,3,2,1,0.0,0,1,66738,8116,13529,45093,52,1,1,4,48000,-58600,377,2,2000,1343.89,2,9,2012,1
2,1.0,3,2,1,1.0,0,1,67282,7807,14336,45139,53,1,3,4,0,-79600,390,2,2000,1312.91,2,7,2013,1
2,2.0,3,0,1,0.0,1,0,54949,10352,5176,39421,37,1,6,9,0,0,196,2,500,1463.99,4,4,2004,1
2,2.0,3,3,1,0.0,1,0,48325,9587,4793,33945,33,1,6,9,0,0,114,2,500,1528.12,4,4,2004,1
2,1.0,3,0,1,0.0,1,0,55656,10433,5217,40006,38,1,6,12,55600,0,205,2,500,1457.13,5,3,2004,1
0,1.0,3,4,3,1.0,1,0,52646,5045,7242,40359,36,1,6,8,0,0,117,2,500,1498.92,1,2,1997,1
0,2.0,3,1,3,1.0,1,0,51951,5058,6429,40464,35,1,2,13,0,0,86,2,500,1422.59,0,2,1997,1
2,0.0,1,6,1,0.0,1,1,83490,7590,15180,60720,46,1,0,5,0,-41400,266,2,2000,1578.54,0,10,1996,0
0,2.0,0,1,3,,2,1,53884,5021,8693,40170,38,0,6,13,0,0,172,2,500,1635.14,0,2,1996,1
2,2.0,3,4,1,0.0,2,1,67774,7634,14338,45802,31,1,6,0,13100,-38200,66,2,739,1408.68,1,7,2007,1
2,1.0,3,4,1,0.0,2,1,65010,6695,18143,40172,33,1,6,0,13100,0,54,2,554,1425.78,1,7,2007,1
2,1.0,3,4,1,0.0,2,1,69689,8284,11703,49702,29,1,6,0,13100,0,74,2,867,1396.84,4,14,2007,1
2,2.0,3,4,1,0.0,2,1,66094,7063,16652,42379,32,1,6,0,0,-38200,59,2,627,1419.08,4,14,2007,1
0,0.0,4,5,2,,1,1,75740,6974,16949,51817,60,0,0,3,51700,0,463,0,1000,1045.46,0,11,1999,1
0,0.0,4,4,2,,1,1,72450,7236,14517,50697,59,0,3,3,51700,0,463,0,1000,980.7,0,11,1999,1
0,1.0,4,4,2,,1,1,73385,7161,15208,51016,59,0,3,3,0,0,463,2,1000,999.12,1,11,1999,1
0,1.0,4,5,2,,1,1,72780,7210,14761,50809,59,0,0,9,0,0,463,0,1000,987.21,1,4,1999,1
2,1.0,1,4,1,1.0,2,1,89042,8413,21735,58894,39,0,0,1,47700,0,65,0,662,1270.41,1,5,1996,1
0,2.0,4,6,3,0.0,2,1,57900,5790,5790,46320,36,0,1,6,0,-63500,30,1,500,1488.26,5,11,2008,0
2,0.0,0,6,1,,2,0,95658,9247,21681,64730,36,0,0,1,0,-59300,82,2,781,1233.97,1,5,1997,1
2,0.0,1,6,1,,2,0,94117,9053,21693,63371,36,0,0,1,0,0,78,2,753,1242.46,1,7,1997,1
2,1.0,1,3,1,0.0,1,0,68523,9874,6229,52420,37,1,6,2,58600,0,226,1,500,1423.82,4,3,2003,1
2,2.0,3,3,1,1.0,1,0,65865,10236,5988,49641,39,1,3,9,55600,0,239,2,500,1419.72,5,13,2003,1
2,1.0,3,5,1,0.0,1,0,65961,10223,5996,49742,38,0,6,9,55600,0,238,2,500,1419.87,4,13,2003,1
2,2.0,1,5,1,0.0,1,1,83062,7898,7551,67613,31,1,3,2,58600,0,159,1,500,1446.19,5,13,2000,1
1,,4,6,1,,2,1,4890,489,978,3423,30,0,2,2,0,-36400,19,1,550,1016.2,4,9,2008,1
1,,4,3,1,,2,1,4158,416,832,2910,35,0,3,2,0,-36400,126,1,883,1152.38,3,14,2008,1
3,,4,3,1,,2,1,4241,424,848,2969,35,0,2,2,0,0,113,1,845,1136.75,4,9,2008,1
1,,4,3,1,,2,1,3979,398,796,2785,36,0,3,8,0,-36400,152,1,964,1185.76,3,9,2008,1
2,1.0,4,5,1,,1,1,44821,4294,6177,34350,33,1,1,3,0,-55500,116,2,2000,1246.6,1,5,2005,0
2,2.0,4,4,1,0.0,0,1,45524,4246,7310,33968,36,1,2,3,41300,-55500,149,2,2000,1274.39,2,5,2004,1
2,2.0,0,5,1,,1,1,44082,4344,4985,34753,30,0,1,6,0,-61400,82,2,2000,1217.36,2,5,2006,1
2,0.0,4,4,1,0.0,2,0,58261,6657,6657,44947,32,1,6,7,0,-31400,130,0,1815,1175.44,0,6,2012,1
2,0.0,3,4,1,0.0,2,0,58816,6090,6090,46636,31,1,6,7,0,-31400,150,0,1954,1144.43,3,14,2013,1
2,0.0,4,4,1,0.0,2,0,57340,7601,7601,42138,33,1,6,11,0,0,98,0,1585,1226.99,3,14,2011,1
2,1.0,4,4,1,,2,0,57247,7696,7696,41855,33,1,3,11,59300,0,95,0,1562,1232.2,0,14,2011,1
0,2.0,3,4,1,0.0,2,1,76175,6950,13899,55326,44,0,2,12,0,0,270,2,500,1327.79,2,14,1997,1
0,2.0,1,6,3,,0,1,66200,6620,6620,52960,45,1,0,12,54400,0,290,2,2000,1215.36,3,12,2012,0
2,1.0,1,4,1,,2,1,76152,6958,13915,55279,44,0,3,12,0,0,270,2,500,1322.47,4,14,1998,1
0,1.0,3,4,1,,2,1,75747,7101,14201,54445,44,0,2,12,0,0,266,1,500,1228.04,2,10,2000,1
0,1.0,3,4,2,0.0,2,1,75078,7337,14674,53067,43,0,3,13,0,0,259,2,500,1072.0,2,10,2005,1
2,2.0,4,4,1,,0,0,45871,5018,5018,35835,57,0,4,4,0,0,421,2,648,1253.0,2,14,1999,1
2,2.0,4,5,1,,0,1,50026,5779,5779,38468,56,1,4,4,0,0,407,2,767,1360.51,0,11,1998,1
2,2.0,4,5,1,,0,1,58056,7251,7251,43554,56,0,4,6,66000,0,380,2,997,1568.18,2,14,1996,1
2,1.0,1,5,1,,1,1,74986,8931,12694,53361,44,1,6,6,0,-74200,250,0,1476,1282.04,4,11,1998,1
2,1.0,1,2,1,,0,0,71585,10423,11275,49887,46,0,6,6,0,0,287,0,1881,1325.71,4,11,2000,1
2,1.0,1,2,1,,0,0,73913,9403,12246,52264,45,1,2,6,0,-74200,262,0,1604,1295.83,2,11,1999,1
0,0.0,1,2,1,,2,1,80029,12935,8891,58203,42,1,5,9,0,-37000,252,1,2000,667.33,5,3,2014,1
0,0.0,0,2,1,0.0,2,1,81571,13532,8714,59325,41,0,5,9,0,-37000,250,1,2000,659.05,5,2,2014,1
0,0.0,1,2,1,,2,1,75750,11277,9382,55091,43,1,5,10,44200,-37000,259,1,2000,690.34,1,3,2014,1
0,2.0,3,2,3,,1,1,65316,11268,5634,48414,42,0,2,13,39300,-60300,246,2,2000,1183.0,0,6,1998,1
0,0.0,4,5,3,1.0,1,1,66341,11325,5663,49353,41,0,2,13,0,-56400,228,2,2000,1193.59,0,11,1998,1
2,1.0,4,2,1,0.0,1,1,54558,4654,9032,40872,29,0,4,3,0,0,142,1,2000,1307.28,2,14,1995,1
0,2.0,3,4,3,,2,1,42500,8500,4250,29750,43,0,1,12,0,0,233,2,1000,954.18,2,10,2000,1
2,1.0,4,2,1,1.0,1,1,56908,6128,8693,42087,30,0,4,2,0,-48500,147,2,2000,1302.46,0,14,1995,0
2,1.0,4,2,1,1.0,1,1,67741,12925,7130,47686,34,0,4,2,84900,0,168,2,2000,1280.24,2,14,1996,0
2,1.0,4,2,1,0.0,1,1,61554,9043,8023,44488,31,0,1,3,0,0,156,2,2000,1292.93,2,14,1995,1
3,,2,4,1,,1,1,5165,529,515,4121,36,1,2,1,0,-42900,193,2,1945,1466.25,3,4,2001,1
3,,4,6,1,,0,1,3963,525,382,3056,35,1,4,1,0,0,165,1,1452,1494.69,3,4,1999,1
3,,4,4,1,,0,1,3564,523,338,2703,35,1,2,1,0,-42900,156,2,1289,1504.13,3,4,1998,1
2,2.0,0,5,3,,1,0,53501,5350,5350,42801,34,0,6,8,0,0,48,2,500,1294.16,5,5,1997,1
0,2.0,3,4,3,0.0,2,1,48950,8900,4450,35600,30,1,6,3,0,-40800,130,0,2000,1193.4,3,12,2005,0
0,2.0,1,5,2,0.0,1,1,59702,5970,5970,47762,34,1,6,8,0,0,81,2,500,1290.23,5,2,1999,1
2,2.0,0,4,1,0.0,0,1,49496,7187,6916,35393,40,1,5,4,20200,0,230,0,500,1500.41,1,2,2004,1
2,2.0,4,1,1,0.0,1,1,47589,5414,8644,33531,42,1,4,9,20200,0,267,0,500,1466.37,1,2,2006,1
0,2.0,3,6,3,0.0,0,1,59475,6608,11351,41516,31,1,3,12,50800,-35500,44,1,859,963.68,1,14,1998,1
0,0.0,0,6,3,0.0,0,1,59564,6618,9219,43727,31,1,4,12,0,-35500,77,1,697,958.16,1,5,2000,1
0,0.0,0,6,3,0.0,0,1,59473,6608,11413,41452,31,1,4,12,0,-66200,43,1,864,963.84,1,5,1997,1
0,2.0,0,6,3,0.0,0,1,59430,6603,12462,40365,32,1,3,5,0,-66200,27,0,944,966.55,1,14,1996,1
0,1.0,0,1,3,0.0,0,1,68268,537,14514,53217,32,1,2,3,0,-51800,131,1,500,1049.7,4,7,2013,1
0,2.0,0,2,4,,1,1,57788,3922,8048,45818,35,1,2,13,0,-28300,149,0,500,1078.56,4,7,2011,1
0,1.0,0,2,3,0.0,0,1,63870,1958,11800,50112,33,0,2,3,0,-28300,138,1,500,1061.81,4,6,2012,1
0,0.0,3,4,3,0.0,2,1,69613,11771,12854,44988,52,1,1,9,75800,0,341,1,500,922.69,4,10,2007,1
0,0.0,1,4,2,,2,1,72186,9596,13909,48681,48,0,1,9,75800,-44000,298,1,500,953.71,4,2,2007,1
0,2.0,1,4,2,0.0,2,1,73376,8590,14397,50389,45,1,1,9,58500,0,277,1,500,968.05,4,2,2007,1
0,0.0,3,4,3,0.0,2,1,69416,11937,12773,44706,53,1,3,9,75800,-44000,345,2,500,920.33,4,2,2007,1
0,1.0,3,1,3,0.0,1,1,56385,10221,7751,38413,35,1,5,13,0,-33300,164,2,792,1160.78,2,8,2012,1
0,1.0,0,1,3,,0,1,58622,11452,6407,40763,38,0,5,13,52000,-44500,229,2,575,1273.14,3,8,2010,1
0,0.0,0,1,3,,1,1,56245,10144,7835,38266,35,1,5,13,52000,-44500,160,2,806,1153.76,2,8,2012,1
0,1.0,0,1,3,0.0,1,1,54280,9062,9016,36202,33,0,2,13,52000,-33300,102,0,996,1055.06,3,8,2013,1
2,0.0,0,6,1,0.0,2,1,58469,5272,8148,45049,58,1,5,13,0,-43300,421,2,726,1198.33,2,1,2006,0
2,0.0,0,5,1,0.0,2,1,58427,5272,8126,45029,58,1,0,13,0,-63700,421,2,728,1199.56,2,1,2006,1
2,0.0,0,5,1,0.0,2,0,55238,5295,6440,43503,57,1,5,8,73500,-63700,411,1,891,1296.31,1,9,2005,1
0,2.0,3,2,3,,2,1,69073,13841,6953,48279,50,1,4,11,0,-38700,313,0,1989,1252.29,1,6,1995,0
0,2.0,3,0,3,,2,1,72785,15929,9679,47177,51,0,4,1,0,-38700,331,0,1409,1080.73,4,6,2002,1
0,2.0,1,0,3,1.0,2,1,70894,14865,8291,47738,50,0,5,1,0,-38700,322,2,1704,1168.09,4,6,1998,1
0,2.0,0,1,3,0.0,0,0,50236,5467,5467,39302,45,0,0,5,38500,-44800,277,2,1000,1363.02,5,6,2000,0
0,2.0,0,2,4,0.0,0,0,47311,5002,5002,37307,44,1,2,6,38500,0,262,2,1000,1425.67,5,6,1998,1
2,0.0,0,4,1,1.0,1,1,38846,1924,3847,33075,48,1,1,11,0,-53300,342,1,1000,1422.96,5,1,1996,1
2,0.0,4,4,1,1.0,2,1,38531,1537,3074,33920,49,1,1,9,0,0,349,2,1000,1393.3,2,2,1996,1
2,0.0,0,4,1,1.0,2,1,38231,1169,2338,34724,49,1,0,9,0,0,355,1,1000,1365.08,5,2,1996,1
2,2.0,4,6,3,,0,1,52291,11342,5671,35278,38,0,2,13,0,-53100,186,0,1000,1413.31,1,3,2012,1
0,2.0,0,3,2,,0,1,50192,10470,5235,34487,38,0,1,13,0,0,190,0,1000,1378.02,1,3,2011,1
0,0.0,3,4,3,,0,1,74200,7420,7420,59360,26,0,0,1,52700,0,91,0,1000,1022.46,2,8,1996,0
0,2.0,4,3,1,,0,1,45334,8451,4226,32657,38,0,1,12,0,0,198,0,1000,1296.29,1,5,2008,1
0,2.0,4,0,3,1.0,2,1,68877,12604,6302,49971,44,0,5,1,0,0,248,2,2000,1236.68,0,11,1997,1
0,0.0,4,6,2,0.0,2,1,74349,14828,7440,52081,31,0,3,2,0,0,86,0,2000,1235.41,0,6,2003,1
0,2.0,3,6,2,0.0,2,1,71023,11429,7449,52145,34,0,4,2,0,0,123,0,2000,1282.4,0,3,2004,1
0,1.0,1,1,4,,1,1,44970,4497,4497,35976,35,0,0,3,0,-51800,159,1,500,1032.09,4,9,2003,1
2,0.0,1,6,1,1.0,2,1,47430,5270,5270,36890,53,0,0,8,21500,0,398,0,2000,1396.43,4,13,2000,0
0,1.0,1,2,4,0.0,1,1,47838,4784,4784,38270,36,1,0,3,0,0,158,2,500,1052.01,4,9,2006,0
0,1.0,1,2,4,,2,1,36353,3635,3635,29083,33,0,2,3,0,-51800,162,1,500,972.24,2,7,1997,1
0,1.0,4,1,3,,1,1,57804,4880,7882,45042,40,1,2,3,62200,0,230,0,824,913.38,4,7,2013,1
0,1.0,4,4,4,,1,1,55480,5123,6541,43816,38,1,2,3,62200,0,191,1,653,1006.93,4,9,2011,0
0,1.0,0,4,4,,1,1,54848,5189,6176,43483,38,1,2,3,0,-51800,180,0,607,1032.35,4,7,2011,1
0,1.0,0,1,4,,1,1,55939,5074,6806,44059,38,1,2,3,62200,0,199,0,687,988.4,4,7,2011,1
0,1.0,1,2,4,1.0,1,1,47772,4597,6397,36778,38,0,5,3,0,-51800,162,0,738,1232.97,4,7,2012,1
0,1.0,1,2,4,1.0,1,1,50285,4929,5925,39431,38,0,2,6,0,-42600,159,1,632,1169.43,4,4,2011,0
0,1.0,4,1,4,1.0,1,1,52645,5240,5482,41923,37,1,5,6,0,-42600,157,1,532,1109.73,4,7,2010,1
2,2.0,4,2,1,1.0,0,0,59633,10378,1290,47965,48,0,3,12,0,-47900,303,1,888,1327.71,1,1,1995,1
2,2.0,4,2,1,1.0,0,0,62702,6803,4781,51118,56,0,3,12,54700,-47900,382,1,586,1257.86,4,9,1997,1
2,2.0,0,2,1,1.0,0,0,58563,11627,71,46865,45,1,4,12,54700,-47900,276,0,994,1352.1,4,1,1995,1
2,1.0,4,2,1,,0,1,74224,6952,6952,60320,31,0,2,4,0,0,118,0,1000,896.05,0,12,2003,1
2,1.0,0,2,1,,0,1,73320,6892,6892,59536,31,0,2,4,0,0,115,0,1000,902.01,4,6,2003,1
2,1.0,0,2,1,,1,1,71062,6742,6742,57578,30,0,5,4,0,0,106,0,1000,916.88,0,12,2003,1
0,1.0,3,4,3,0.0,1,1,77126,13806,17854,45466,40,1,4,8,0,0,38,2,2000,1054.0,0,6,2004,1
0,1.0,3,4,3,0.0,1,1,71511,16495,11013,44003,35,1,4,8,0,-66300,8,2,2000,1266.52,3,6,2006,1
0,1.0,3,4,3,0.0,1,1,75680,14498,16093,45089,39,1,4,11,43700,-66300,30,2,2000,1108.69,3,6,2005,1
2,0.0,0,4,1,0.0,1,1,51265,5682,5810,39773,46,1,1,4,75800,0,276,2,1959,1100.2,0,2,2007,1
2,1.0,0,1,1,0.0,1,0,64584,9287,6144,49153,42,1,6,7,0,0,251,2,500,1569.22,2,6,2007,1
2,2.0,0,3,1,0.0,1,0,60859,10791,5563,44505,41,1,0,7,0,0,263,2,500,1428.96,4,3,2004,1
2,2.0,0,3,1,0.0,1,0,62106,10288,5758,46060,42,1,6,9,55600,0,259,2,500,1475.89,4,3,2005,1
2,2.0,3,1,1,0.0,1,0,66171,8646,6392,51133,43,1,6,9,55600,0,246,2,500,1628.98,4,3,2009,1
0,2.0,3,3,3,,1,1,67372,5646,11292,50434,62,0,4,1,82600,-49500,455,2,1000,1389.51,3,4,2012,0
0,2.0,3,3,2,0.0,1,1,75079,6562,13125,55392,61,0,1,1,82600,0,447,2,1000,1335.51,4,11,2012,1
0,0.0,3,3,3,0.0,1,1,70403,6006,12013,52384,62,0,4,10,82600,0,452,2,1000,1368.28,4,11,2012,1
2,0.0,1,0,1,,2,1,55727,5303,8002,42422,30,1,6,13,48900,0,139,0,2000,1448.57,4,4,2010,1
2,0.0,4,1,1,,1,1,61734,6115,6701,48918,39,0,2,13,57500,0,231,0,2000,1422.87,4,4,2013,1
0,0.0,1,1,3,,1,1,48706,5182,7247,36277,28,0,1,9,47500,-58700,87,1,1000,1189.58,2,4,2001,1
0,0.0,3,4,3,0.0,1,1,66900,6690,13380,46830,44,0,1,8,0,-61600,242,0,2000,1396.89,2,12,1999,1
0,0.0,0,1,3,,2,1,50894,5299,8500,37095,29,0,5,9,47500,0,90,1,1000,1217.41,2,11,2002,1
0,1.0,1,1,3,1.0,1,1,45529,5013,5427,35089,28,1,5,9,47500,-58700,82,0,1000,1149.15,2,4,2000,1
2,0.0,0,6,1,0.0,2,1,100738,18639,18639,63460,45,1,4,11,0,0,307,1,1207,1097.49,4,9,2000,1
2,0.0,1,6,1,0.0,2,1,98112,18381,18381,61350,44,0,0,11,0,0,300,1,1347,1154.99,4,12,2001,1
2,2.0,1,6,1,1.0,2,1,92451,17824,17824,56803,43,1,0,11,43700,0,286,1,1650,1278.83,2,9,2003,1
0,1.0,4,4,2,1.0,0,1,63713,7903,9473,46337,26,1,3,4,0,-32500,96,1,500,1240.09,1,12,2009,0
0,1.0,1,4,1,1.0,0,1,77665,12731,8451,56483,24,0,3,13,47500,0,61,2,500,1198.47,4,12,2009,1
2,1.0,4,4,2,1.0,0,1,63679,7891,9476,46312,26,0,3,4,0,-32500,96,2,500,1240.19,4,12,2009,1
2,1.0,4,4,1,1.0,0,1,81179,13947,8193,59039,23,1,3,13,47500,-32500,52,2,500,1187.98,1,12,2009,1
2,2.0,4,1,1,,2,1,77878,15193,7596,55089,39,0,6,10,0,-64500,182,2,1000,1237.97,2,14,1996,1
2,2.0,4,5,1,,2,1,77944,15189,7595,55160,39,0,1,9,0,0,182,0,1000,1234.16,2,14,1996,1
2,0.0,1,5,1,,2,1,79806,15079,7540,57187,36,0,6,9,0,0,163,0,1000,1124.77,1,14,1996,1
2,2.0,4,5,1,,2,1,80056,15065,7532,57459,35,0,1,10,0,-64500,161,0,1000,1110.1,1,14,1996,1
